Common_Code,Diagnosis
I630,Cerebral infarction due to thrombosis of precerebral arteries
I631,Cerebral infarction due to embolism of precerebral arteries
I632,Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries
I633,Cerebral infarction due to thrombosis of cerebral arteries
I634,Cerebral infarction due to embolism of cerebral arteries
I635,Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries
I636,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
I638,Other cerebral infarction
I639,"Cerebral infarction, unspecified"
I650,Occlusion and stenosis of vertebral artery
I651,Occlusion and stenosis of basilar artery
I652,Occlusion and stenosis of carotid artery
I658,Occlusion and stenosis of other precerebral arteries
I659,Occlusion and stenosis of unspecified precerebral artery
I660,Occlusion and stenosis of middle cerebral artery
I661,Occlusion and stenosis of anterior cerebral artery
I662,Occlusion and stenosis of posterior cerebral artery
I663,Occlusion and stenosis of cerebellar arteries
I668,Occlusion and stenosis of other cerebral arteries
I669,Occlusion and stenosis of unspecified cerebral artery
I67,Other cerebrovascular diseases
I678,Other specified cerebrovascular diseases
I679,"Cerebrovascular disease, unspecified"
I68,Cerebrovascular disorders in diseases classified elsewhere
I690,Sequelae of nontraumatic subarachnoid hemorrhage
I691,Sequelae of nontraumatic intracerebral hemorrhage
I692,Sequelae of other nontraumatic intracranial hemorrhage
I693,Sequelae of cerebral infarction
I698,Sequelae of other cerebrovascular diseases
I699,Sequelae of unspecified cerebrovascular diseases
I70,Atherosclerosis
I708,Atherosclerosis of other arteries
I709,Other and unspecified atherosclerosis
I710,Dissection of aorta
I711,"Thoracic aortic aneurysm, ruptured"
I712,"Thoracic aortic aneurysm, without rupture"
I713,"Abdominal aortic aneurysm, ruptured"
I714,"Abdominal aortic aneurysm, without rupture"
I715,"Thoracoabdominal aortic aneurysm, ruptured"
I716,"Thoracoabdominal aortic aneurysm, without rupture"
I718,"Aortic aneurysm of unspecified site, ruptured"
I719,"Aortic aneurysm of unspecified site, without rupture"
I72,Other aneurysm
I730,Raynaud's syndrome
I731,Thromboangiitis obliterans [Buerger's disease]
I738,Other specified peripheral vascular diseases
I739,"Peripheral vascular disease, unspecified"
I740,Embolism and thrombosis of abdominal aorta
I741,Embolism and thrombosis of other and unspecified parts of aorta
I742,Embolism and thrombosis of arteries of the upper extremities
I743,Embolism and thrombosis of arteries of the lower extremities
I744,"Embolism and thrombosis of arteries of extremities, unspecified"
I745,Embolism and thrombosis of iliac artery
I748,Embolism and thrombosis of other arteries
I749,Embolism and thrombosis of unspecified artery
I758,Atheroembolism of other sites
I76,Septic arterial embolism
I77,Other disorders of arteries and arterioles
I777,Other arterial dissection
I779,"Disorder of arteries and arterioles, unspecified"
I78,Diseases of capillaries
I79,"Disorders of arteries, arterioles and capillaries in diseases classified elsewhere"
I800,Phlebitis and thrombophlebitis of superficial vessels of lower extremities
I801,Phlebitis and thrombophlebitis of femoral vein
I803,"Phlebitis and thrombophlebitis of lower extremities, unspecified"
I808,Phlebitis and thrombophlebitis of other sites
I809,Phlebitis and thrombophlebitis of unspecified site
I81,Portal vein thrombosis
I82,Other venous embolism and thrombosis
I823,Embolism and thrombosis of renal vein
I829,Embolism and thrombosis of unspecified vein
I831,Varicose veins of lower extremities with inflammation
I839,Asymptomatic varicose veins of lower extremities
I850,Esophageal varices
I851,Secondary esophageal varices
I86,Varicose veins of other sites
I871,Compression of vein
I872,Venous insufficiency (chronic) (peripheral)
I878,Other specified disorders of veins
I879,"Disorder of vein, unspecified"
I88,Nonspecific lymphadenitis
I89,Other noninfective disorders of lymphatic vessels and lymph nodes
I95,Hypotension
I958,Other hypotension
I959,"Hypotension, unspecified"
I96,"Gangrene, not elsewhere classified"
I97,"Intraoperative and postprocedural complications and disorders of circulatory system, not elsewhere classified"
I972,Postmastectomy lymphedema syndrome
I973,Postprocedural hypertension
I975,Accidental puncture and laceration of a circulatory system organ or structure during a procedure
I99,Other and unspecified disorders of circulatory system
J00,Acute nasopharyngitis [common cold]
J010,Acute maxillary sinusitis
J011,Acute frontal sinusitis
J012,Acute ethmoidal sinusitis
J013,Acute sphenoidal sinusitis
J014,Acute pansinusitis
J018,Other acute sinusitis
J019,"Acute sinusitis, unspecified"
J02,Acute pharyngitis
J030,Streptococcal tonsillitis
J038,Acute tonsillitis due to other specified organisms
J039,"Acute tonsillitis, unspecified"
J04,Acute laryngitis and tracheitis
J041,Acute tracheitis
J042,Acute laryngotracheitis
J043,"Supraglottitis, unspecified"
J05,Acute obstructive laryngitis [croup] and epiglottitis
J051,Acute epiglottitis
J06,Acute upper respiratory infections of multiple and unspecified sites
J09X,Influenza due to identified novel influenza A virus
J100,Influenza due to other identified influenza virus with pneumonia
J101,Influenza due to other identified influenza virus with other respiratory manifestations
J102,Influenza due to other identified influenza virus with gastrointestinal manifestations
J108,Influenza due to other identified influenza virus with other manifestations
J110,Influenza due to unidentified influenza virus with pneumonia
J111,Influenza due to unidentified influenza virus with other respiratory manifestations
J112,Influenza due to unidentified influenza virus with gastrointestinal manifestations
J118,Influenza due to unidentified influenza virus with other manifestations
J12,"Viral pneumonia, not elsewhere classified"
J128,Other viral pneumonia
J129,"Viral pneumonia, unspecified"
J13,Pneumonia due to Streptococcus pneumoniae
J14,Pneumonia due to Hemophilus influenzae
J15,"Bacterial pneumonia, not elsewhere classified"
J152,Pneumonia due to staphylococcus
J153,"Pneumonia due to streptococcus, group B"
J154,Pneumonia due to other streptococci
J155,Pneumonia due to Escherichia coli
J156,Pneumonia due to other Gram-negative bacteria
J157,Pneumonia due to Mycoplasma pneumoniae
J158,Pneumonia due to other specified bacteria
J159,Unspecified bacterial pneumonia
J16,"Pneumonia due to other infectious organisms, not elsewhere classified"
J17,Pneumonia in diseases classified elsewhere
J18,"Pneumonia, unspecified organism"
J20,Acute bronchitis
J21,Acute bronchiolitis
J22,Unspecified acute lower respiratory infection
J30,Vasomotor and allergic rhinitis
J308,Other allergic rhinitis
J309,"Allergic rhinitis, unspecified"
J31,"Chronic rhinitis, nasopharyngitis and pharyngitis"
J32,Chronic sinusitis
J33,Nasal polyp
J34,Other and unspecified disorders of nose and nasal sinuses
J348,Other specified disorders of nose and nasal sinuses
J349,Unspecified disorder of nose and nasal sinuses
J350,Chronic tonsillitis and adenoiditis
J351,Hypertrophy of tonsils
J352,Hypertrophy of adenoids
J353,Hypertrophy of tonsils with hypertrophy of adenoids
J358,Other chronic diseases of tonsils and adenoids
J359,"Chronic disease of tonsils and adenoids, unspecified"
J36,Peritonsillar abscess
J37,Chronic laryngitis and laryngotracheitis
J380,Paralysis of vocal cords and larynx
J381,Polyp of vocal cord and larynx
J382,Nodules of vocal cords
J383,Other diseases of vocal cords
J384,Edema of larynx
J385,Laryngeal spasm
J386,Stenosis of larynx
J387,Other diseases of larynx
J39,Other diseases of upper respiratory tract
J40,"Bronchitis, not specified as acute or chronic"
J41,Simple and mucopurulent chronic bronchitis
J42,Unspecified chronic bronchitis
J43,Emphysema
J44,Other chronic obstructive pulmonary disease
J452,Mild intermittent asthma
J453,Mild persistent asthma
J454,Moderate persistent asthma
J455,Severe persistent asthma
J47,Bronchiectasis
J60,Coalworker's pneumoconiosis
J61,Pneumoconiosis due to asbestos and other mineral fibers
J62,Pneumoconiosis due to dust containing silica
J63,Pneumoconiosis due to other inorganic dusts
J64,Unspecified pneumoconiosis
J65,Pneumoconiosis associated with tuberculosis
J66,Airway disease due to specific organic dust
J67,Hypersensitivity pneumonitis due to organic dust
J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapors"
J69,Pneumonitis due to solids and liquids
J70,Respiratory conditions due to other external agents
J80,Acute respiratory distress syndrome
J81,Pulmonary edema
J82,"Pulmonary eosinophilia, not elsewhere classified"
J840,Alveolar and parieto-alveolar conditions
J841,Other interstitial pulmonary diseases with fibrosis
J842,Lymphoid interstitial pneumonia
J848,Other specified interstitial pulmonary diseases
J849,"Interstitial pulmonary disease, unspecified"
J85,Abscess of lung and mediastinum
J86,Pyothorax
J90,"Pleural effusion, not elsewhere classified"
J91,Pleural effusion in conditions classified elsewhere
J92,Pleural plaque
J93,Pneumothorax and air leak
J931,Other spontaneous pneumothorax
J938,Other pneumothorax and air leak
J939,"Pneumothorax, unspecified"
J94,Other pleural conditions
J950,Tracheostomy complications
J951,Acute pulmonary insufficiency following thoracic surgery
J952,Acute pulmonary insufficiency following nonthoracic surgery
J953,Chronic pulmonary insufficiency following surgery
J954,Chemical pneumonitis due to anesthesia
J955,Postprocedural subglottic stenosis
J956,Intraoperative hemorrhage and hematoma of a respiratory system organ or structure complicating a procedure
J957,Accidental puncture and laceration of a respiratory system organ or structure during a procedure
J960,Acute respiratory failure
J961,Chronic respiratory failure
J962,Acute and chronic respiratory failure
J969,"Respiratory failure, unspecified"
J980,"Diseases of bronchus, not elsewhere classified"
J981,Pulmonary collapse
J982,Interstitial emphysema
J983,Compensatory emphysema
J984,Other disorders of lung
J985,"Diseases of mediastinum, not elsewhere classified"
J986,Disorders of diaphragm
J988,Other specified respiratory disorders
J989,"Respiratory disorder, unspecified"
J99,Respiratory disorders in diseases classified elsewhere
K00,Disorders of tooth development and eruption
K01,Embedded and impacted teeth
K02,Dental caries
K025,Dental caries on pit and fissure surface
K026,Dental caries on smooth surface
K027,Dental root caries
K029,"Dental caries, unspecified"
K03,Other diseases of hard tissues of teeth
K038,Other specified diseases of hard tissues of teeth
K039,"Disease of hard tissues of teeth, unspecified"
K040,Pulpitis
K041,Necrosis of pulp
K042,Pulp degeneration
K043,Abnormal hard tissue formation in pulp
K044,Acute apical periodontitis of pulpal origin
K045,Chronic apical periodontitis
K046,Periapical abscess with sinus
K047,Periapical abscess without sinus
K048,Radicular cyst
K049,Other and unspecified diseases of pulp and periapical tissues
K050,Acute gingivitis
K051,Chronic gingivitis
K052,Aggressive periodontitis
K053,Chronic periodontitis
K054,Periodontosis
K055,Other periodontal diseases
K056,"Periodontal disease, unspecified"
K061,Gingival enlargement
K062,Gingival and edentulous alveolar ridge lesions associated with trauma
K063,Horizontal alveolar bone loss
K068,Other specified disorders of gingiva and edentulous alveolar ridge
K069,"Disorder of gingiva and edentulous alveolar ridge, unspecified"
K08,Other disorders of teeth and supporting structures
K082,Atrophy of edentulous alveolar ridge
K083,Retained dental root
K085,Unsatisfactory restoration of tooth
K088,Other specified disorders of teeth and supporting structures
K089,"Disorder of teeth and supporting structures, unspecified"
K09,"Cysts of oral region, not elsewhere classified"
K11,Diseases of salivary glands
K112,Sialoadenitis
K113,Abscess of salivary gland
K114,Fistula of salivary gland
K115,Sialolithiasis
K116,Mucocele of salivary gland
K117,Disturbances of salivary secretion
K118,Other diseases of salivary glands
K119,"Disease of salivary gland, unspecified"
K12,Stomatitis and related lesions
K123,Oral mucositis (ulcerative)
K13,Other diseases of lip and oral mucosa
K132,"Leukoplakia and other disturbances of oral epithelium, including tongue"
